txn_id,client_id,amount,currency,txn_ts,category
1,135,2189.31,RUB,2025-01-02 11:50:47,Refunds
2,409,6632.65,USD,2025-01-07 00:40:45,Fees
3,361,7670.95,EUR,2025-02-27 22:27:13,Transfers
4,275,1674.7,RUB,2025-04-02 07:50:57,Refunds
5,273,448.14,RUB,2025-03-10 17:03:02,Refunds
6,443,4401.48,RUB,2025-04-12 17:13:40,Payments
7,134,7742.5,USD,2025-03-08 00:42:21,Payments
8,378,6511.29,EUR,2025-04-30 20:58:14,Transfers
9,180,7021.8,USD,2025-04-13 15:43:21,Fees
10,137,4034.37,USD,2025-03-22 16:34:14,ATM
11,310,2357.11,EUR,2025-04-21 22:54:17,ATM
12,490,5322.47,RUB,2025-01-23 14:38:04,Deposits
13,394,2051.61,EUR,2025-01-16 04:01:49,Deposits
14,404,7265.02,RUB,2025-04-21 14:01:44,ATM
15,386,1977.69,RUB,2025-01-17 13:43:05,Payments
16,414,2919.72,EUR,2025-04-03 05:15:12,ATM
17,305,5070.38,USD,2025-01-18 20:39:22,Transfers
18,151,4872.23,USD,2025-03-09 05:26:48,Fees
19,435,6012.49,RUB,2025-04-13 10:37:43,Transfers
20,280,4380.07,USD,2025-01-31 11:05:32,Payments
21,300,9195.54,EUR,2025-04-18 06:03:57,Deposits
22,248,8400.94,RUB,2025-01-15 15:59:26,Deposits
23,173,8792.34,RUB,2025-03-10 08:40:31,ATM
24,470,6298.87,RUB,2025-01-23 14:21:55,Refunds
25,412,6353.73,USD,2025-02-25 11:25:53,Fees
26,357,6095.89,EUR,2025-02-13 15:07:54,Deposits
27,260,4354.49,RUB,2025-02-14 08:58:16,Fees
28,429,3227.84,EUR,2025-01-28 18:11:28,ATM
29,318,5924.11,EUR,2025-02-26 10:41:30,Transfers
30,277,265.06,USD,2025-04-28 07:20:53,Payments
31,280,84.49,EUR,2025-01-13 04:24:10,Payments
32,190,8517.9,EUR,2025-03-16 00:57:31,Transfers
33,136,473.78,EUR,2025-03-17 04:30:41,Fees
34,321,5252.7,USD,2025-01-14 15:27:33,Deposits
35,455,6153.73,RUB,2025-01-28 08:51:52,Deposits
36,125,1989.73,EUR,2025-03-30 15:56:43,Deposits
37,443,8958.35,USD,2025-04-05 14:02:31,Transfers
38,431,1909.06,RUB,2025-03-20 21:09:27,Fees
39,210,8846.3,EUR,2025-05-02 16:39:14,Payments
40,352,7632.27,USD,2025-01-23 12:33:13,ATM
41,166,2415.02,EUR,2025-01-25 05:48:32,Refunds
42,403,1515.93,EUR,2025-03-29 20:09:56,Refunds
43,380,3169.16,RUB,2025-01-29 13:59:03,Deposits
44,241,3985.53,EUR,2025-01-04 21:09:06,Refunds
45,127,2465.39,EUR,2025-01-27 10:13:58,Transfers
46,488,9988.93,EUR,2025-01-19 11:27:32,Transfers
47,278,2304.23,RUB,2025-04-08 03:24:34,Deposits
48,457,8308.04,EUR,2025-03-24 00:07:15,Payments
49,371,1599.59,EUR,2025-01-06 08:10:04,Transfers
50,411,9802.64,EUR,2025-05-02 08:33:17,Refunds
51,403,2262.98,USD,2025-02-04 21:23:19,Fees
52,177,4222.67,EUR,2025-02-05 09:34:49,Transfers
53,245,5590.06,USD,2025-03-09 06:11:46,Transfers
54,286,1211.65,RUB,2025-01-01 18:40:01,Deposits
55,299,8170.03,EUR,2025-03-23 18:14:57,Payments
56,117,2754.11,USD,2025-03-24 20:13:33,Payments
57,318,5497.21,RUB,2025-01-12 23:44:42,Refunds
58,161,5500.84,USD,2025-01-19 03:25:10,Fees
59,397,6030.38,RUB,2025-01-20 09:18:00,Fees
60,373,564.31,USD,2025-03-25 00:02:41,Transfers
61,469,1694.5,USD,2025-03-20 07:16:36,Refunds
62,397,1620.31,EUR,2025-01-21 15:55:53,Transfers
63,246,3027.49,EUR,2025-03-07 06:55:59,Refunds
64,487,1457.69,USD,2025-03-28 08:58:42,ATM
65,264,9219.99,EUR,2025-04-24 21:21:33,Transfers
66,230,5134.41,RUB,2025-01-01 16:32:55,Fees
67,462,6239.52,EUR,2025-01-11 10:26:33,Deposits
68,248,3581.31,RUB,2025-01-12 08:21:37,Transfers
69,130,2769.7,EUR,2025-01-07 23:52:25,Fees
70,287,5036.74,EUR,2025-03-26 01:39:55,Fees
71,418,2950.29,RUB,2025-02-05 09:28:28,ATM
72,175,3443.02,RUB,2025-03-18 12:03:33,Deposits
73,285,4532.98,EUR,2025-03-29 05:43:25,Transfers
74,151,5062.28,EUR,2025-01-03 02:14:20,Deposits
75,374,9843.3,EUR,2025-01-22 19:38:49,Refunds
76,290,2240.99,RUB,2025-02-02 20:30:54,Deposits
77,232,4884.88,USD,2025-01-15 14:58:59,Refunds
78,190,1503.62,USD,2025-03-25 02:02:14,Payments
79,325,3506.49,EUR,2025-03-29 10:41:28,Payments
80,367,7175.93,EUR,2025-04-23 17:33:12,Transfers
81,476,1752.88,EUR,2025-01-26 17:48:56,Payments
82,274,5817.7,USD,2025-04-29 22:27:49,Refunds
83,164,4172.84,RUB,2025-03-31 14:00:40,Deposits
84,433,525.28,EUR,2025-01-02 11:12:26,Payments
85,351,9331.42,RUB,2025-02-19 10:00:08,ATM
86,380,4141.9,RUB,2025-03-01 04:53:55,Refunds
87,138,7841.43,RUB,2025-04-01 12:44:45,Refunds
88,224,4168.97,USD,2025-04-17 04:21:23,Payments
89,407,9374.23,RUB,2025-01-19 04:56:42,Fees
90,432,2911.8,USD,2025-02-21 22:03:37,Deposits
91,274,4128.18,RUB,2025-05-04 09:50:12,Refunds
92,421,7591.05,EUR,2025-03-14 05:44:51,ATM
93,436,3443.24,USD,2025-03-23 15:50:18,Fees
94,254,3649.93,RUB,2025-02-12 21:53:48,Refunds
95,459,9948.28,EUR,2025-04-25 20:17:30,Refunds
96,215,5560.59,USD,2025-03-13 18:19:29,Payments
97,195,6896.91,RUB,2025-03-20 09:37:31,Fees
98,372,6438.19,USD,2025-02-04 13:59:24,Payments
99,354,8280.96,EUR,2025-01-21 19:45:50,Refunds
100,155,8619.63,EUR,2025-03-17 02:21:03,ATM
101,433,5636.93,USD,2025-02-21 00:06:34,Transfers
102,179,2952.62,EUR,2025-04-24 21:22:44,Transfers
103,421,237.77,RUB,2025-04-27 21:25:48,Refunds
104,102,6147.89,EUR,2025-03-17 11:55:42,ATM
105,418,8256.43,EUR,2025-01-10 07:54:23,Transfers
106,414,4510.89,USD,2025-03-14 17:44:47,Fees
107,412,1655.41,USD,2025-02-08 06:03:57,Fees
108,365,2887.94,USD,2025-04-04 04:24:07,Payments
109,288,5104.79,RUB,2025-01-11 10:18:00,Transfers
110,382,8368.45,EUR,2025-01-21 12:11:45,Refunds
111,210,1725.81,EUR,2025-03-18 22:49:55,Deposits
112,412,6125.38,EUR,2025-01-03 04:29:47,Payments
113,322,7536.15,RUB,2025-02-03 09:54:15,ATM
114,283,9361.11,EUR,2025-01-29 14:17:59,Refunds
115,302,1175.87,USD,2025-02-22 20:15:24,ATM
116,327,9264.65,EUR,2025-04-04 10:26:32,Refunds
117,114,6018.66,EUR,2025-04-27 08:08:38,Payments
118,155,7669.35,EUR,2025-04-25 23:50:50,Fees
119,198,547.21,EUR,2025-01-21 11:24:06,ATM
120,145,5066.42,RUB,2025-01-12 10:25:17,Refunds
121,275,6230.07,RUB,2025-04-01 17:32:06,ATM
122,367,3075.27,RUB,2025-03-25 23:10:10,Fees
123,361,4322.19,USD,2025-02-11 17:31:58,Payments
124,288,5547.44,EUR,2025-03-29 03:33:13,Payments
125,442,5529.95,EUR,2025-01-10 17:56:46,Fees
126,326,428.2,USD,2025-01-05 14:03:53,Payments
127,131,4400.42,EUR,2025-01-23 16:30:57,Refunds
128,405,2146.04,RUB,2025-04-10 19:26:03,Payments
129,329,9167.78,USD,2025-05-04 15:23:56,Fees
130,353,9766.03,USD,2025-04-06 04:37:57,Deposits
131,326,3003.47,RUB,2025-04-24 19:21:45,ATM
132,321,1760.1,USD,2025-02-23 16:03:50,ATM
